jp_name,n_routes,daily_stop_events,min_transfers_yamanote,max_route_btw_cent,mean_route_degree_cent,mean_route_btw_cent,stop_lat,stop_lon,km_to_yamanote,ward_jp,pop_800m_catchment,ridership_2019,log_ridership,station_key
京成曳舟,1.0,604.0,2.0,0.0041751898894756,0.0769230769230769,0.0041751898894756,35.7179,139.81934,3.762731675416266,墨田区,86983.0,19791.0,9.893033094632267,Keisei-Hikifune
京成立石,1.0,604.0,2.0,0.0041751898894756,0.0769230769230769,0.0041751898894756,35.73808,139.84831,6.626759555627769,葛飾区,56857.0,39010.0,10.57159893662485,Keisei-Tateishi
京成金町,1.0,328.0,2.0,0.0,0.0384615384615384,0.0,35.768606,139.870409,9.870618885387357,葛飾区,55499.0,25352.0,10.140652345212592,Keisei-Kanamachi
京成関屋,1.0,498.0,1.0,0.0293823137877515,0.141025641025641,0.0293823137877515,35.74372,139.81152,3.930138346443276,足立区,42336.0,25614.0,10.150933396373302,Keisei-Sekiya
京成高砂,4.0,2071.0,1.0,0.0293823137877515,0.0865384615384615,0.0136127434679941,35.75076,139.86726,8.708300282852813,葛飾区,53889.0,106481.0,11.57573123576262,Keisei-Takasago
京橋,1.0,1148.0,1.0,0.0452863952870408,0.3461538461538461,0.0452863952870408,35.676704,139.77011,0.5814337850062667,中央区,20760.0,512151.0,13.14637673496298,Kyobashi
人形町,2.0,1851.0,1.0,0.0286529346993004,0.2435897435897435,0.0243371994440486,35.686302,139.7823075,1.204802044716088,中央区,41972.0,136309.0,11.822686982564887,Ningyocho
仙川,1.0,866.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.66238,139.58524,10.514058818860544,Outside-23,49509.0,82714.0,11.323156243041115,Sengawa
代々木,3.0,2684.0,0.0,0.2422528336324923,0.4017094017094016,0.108165598778082,35.68352,139.70205,0.0,渋谷区,25248.0,179242.0,12.096497706095429,Yoyogi
代々木上原,2.0,2312.0,1.0,0.025633044988058,0.1538461538461538,0.025633044988058,35.66906,139.67968,2.086132686262167,渋谷区,73389.0,283238.0,12.5540463431847,Yoyogi-Uehara
代々木八幡,1.0,462.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.66948,139.68863,1.2787938361375666,渋谷区,45295.0,20580.0,9.93212359907246,Yoyogi-Hachiman
代々木公園,1.0,890.0,2.0,0.025633044988058,0.141025641025641,0.025633044988058,35.669104,139.689791,1.1832192995536903,渋谷区,47252.0,29250.0,10.283669040109793,Yoyogi-koen
代官山,1.0,647.0,1.0,0.0812066517220394,0.2051282051282051,0.0812066517220394,35.648043,139.703084,0.6308973230105605,渋谷区,56767.0,31241.0,10.349518622390956,Daikan-yama
代田橋,1.0,481.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.67108,139.6594,3.903323721372586,世田谷区,89881.0,20131.0,9.91006586789625,Daitabashi
仲御徒町,1.0,978.0,1.0,0.0200214641887968,0.2435897435897435,0.0200214641887968,35.706655,139.77619,0.1580669398916184,台東区,53617.0,43271.0,10.675261053551264,Naka-okachimachi
仲町台,1.0,593.0,2.0,0.010293848606791,0.0512820512820512,0.010293848606791,35.53523,139.589828,15.652956313487316,Outside-23,0.0,33642.0,10.423560289658782,Nakamachidai
住吉,2.0,1684.0,1.0,0.0334927687565924,0.2371794871794871,0.0186989705160574,35.688872,139.815695,4.004349812540861,江東区,74499.0,210129.0,12.255481665787716,Sumiyoshi
保谷,1.0,820.0,1.0,0.0054994731144995,0.1282051282051282,0.0054994731144995,35.74832,139.56754,12.90164875094552,Outside-23,52495.0,63372.0,11.056793182210107,Hōya
信濃町,1.0,876.0,1.0,0.031915553902728,0.2692307692307692,0.031915553902728,35.67991,139.72094,1.7527351460579306,新宿区,15986.0,52516.0,10.868892205688535,Shinanomachi
元住吉,2.0,1278.0,1.0,0.0812066517220394,0.1538461538461538,0.0511760291664823,35.5646095,139.653993,9.090417711321916,Outside-23,0.0,67853.0,11.125113617099382,Motosumiyoshi
光が丘,1.0,788.0,1.0,0.0503284087990258,0.3333333333333333,0.0503284087990258,35.758527,139.628901,8.059247817994137,練馬区,63207.0,63120.0,11.052808798233295,Hikarigaoka
入谷,1.0,978.0,1.0,0.0200214641887968,0.2435897435897435,0.0200214641887968,35.720565,139.784466,0.6008919284155618,台東区,96121.0,36129.0,10.494878824141686,Iriya
八丁堀,3.0,1750.0,1.0,0.0200214641887968,0.2435897435897435,0.0200214641887968,35.675368,139.777334,1.1400018472918754,中央区,41325.5,203259.0,12.222241226691756,Hatchobori
八丁畷,2.0,617.0,1.0,0.0258911023616905,0.1153846153846153,0.0258911023616905,35.523119,139.691491,11.238128472296609,Outside-23,0.0,19575.0,9.882059605122508,Hatchō-nawate
八幡山,1.0,617.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.67008,139.61448,7.962162325863646,杉並区,71631.0,43346.0,10.676992775661722,Hachiman-yama
八広,1.0,604.0,2.0,0.0041751898894756,0.0769230769230769,0.0041751898894756,35.72705,139.82803,4.573125974494625,墨田区,53269.0,12678.0,9.447702360527948,Yahiro
八潮,1.0,830.0,1.0,0.0031765482948732,0.1153846153846153,0.0031765482948732,35.8078016,139.84483,10.854180664294235,Outside-23,0.0,49100.0,10.801634680173994,Yashio
六本木,2.0,1770.0,1.0,0.0503284087990258,0.2884615384615384,0.0351749364939113,35.663453,139.7312545,2.4260727791633863,港区,45200.0,231703.0,12.353215973974516,Roppongi
六本木一丁目,1.0,734.0,1.0,0.0295215446290046,0.1666666666666666,0.0295215446290046,35.665075,139.7389,1.7200250948478115,港区,39883.0,88958.0,11.395930868414034,Roppongi-itchome
六町,1.0,539.0,1.0,0.0031765482948732,0.1153846153846153,0.0031765482948732,35.784856,139.8218755,7.585022673459849,足立区,33359.0,30100.0,10.31231367277647,Rokuchō
六郷土手,1.0,445.0,1.0,0.0258911023616905,0.1153846153846153,0.0258911023616905,35.540782,139.707686,8.965260485247484,大田区,31481.0,16441.0,9.70759431571208,Rokugōdote
内幸町,1.0,752.0,1.0,0.0044180949557833,0.141025641025641,0.0044180949557833,35.669344,139.75533,0.4094278576409642,港区,10636.0,44741.0,10.70866793677185,Uchisaiwaicho
初台,1.0,714.0,1.0,0.0,0.141025641025641,0.0,35.68051,139.68671,1.4253608740506545,渋谷区,78056.0,65172.0,11.084800551717894,Hatsudai
勝どき,1.0,784.0,1.0,0.0503284087990258,0.3333333333333333,0.0503284087990258,35.658934,139.777138,1.855565322033348,中央区,65511.0,108147.0,11.591255938376184,Kachidoki
北千住,5.0,4996.0,1.0,0.0740523911480243,0.2179487179487179,0.0386144697214487,35.7499,139.80482,3.971434046772934,足立区,21601.0,1294209.0,14.073411028356476,Kita-Senju
北千束,1.0,730.0,2.0,0.0032074050217671,0.0769230769230769,0.0032074050217671,35.606322,139.693215,3.503568649629466,大田区,70130.0,7268.0,8.891374009484636,Kita-senzoku
北参道,1.0,728.0,1.0,0.0186180234263645,0.2179487179487179,0.0186180234263645,35.678503,139.705469,0.6376327413797773,渋谷区,28308.0,24879.0,10.121819546853116,Kita-sando
北品川,1.0,438.0,1.0,0.0258911023616905,0.1153846153846153,0.0258911023616905,35.622066,139.739202,0.7501059319369346,品川区,78121.0,9538.0,9.163143937145207,Kitashinagawa
北国分,1.0,285.0,2.0,0.0,0.0384615384615384,0.0,35.7629228,139.9141728,13.143811985174365,Outside-23,0.0,8356.0,9.030854790001436,Kita-Kokubun
北山田,1.0,601.0,2.0,0.0007857222142936,0.0512820512820512,0.0007857222142936,35.56095,139.592827,13.728060127086836,Outside-23,0.0,28444.0,10.255727677184748,Kita-yamata
北戸田,1.0,514.0,1.0,0.0251524865741204,0.3333333333333333,0.0251524865741204,35.827588,139.660185,11.787948762032448,Outside-23,0.0,44040.0,10.69287629720916,Kita-Toda
北新横浜,1.0,586.0,2.0,0.010293848606791,0.0512820512820512,0.010293848606791,35.519237,139.612816,15.29110583423548,Outside-23,0.0,12471.0,9.431241410737613,Kita-shin-yokohama
北朝霞,1.0,509.0,1.0,0.0008736492480334,0.1666666666666666,0.0008736492480334,35.81544,139.58733,14.65715541330012,Outside-23,0.0,141768.0,11.861954251408308,Kita-Asaka
北松戸,1.0,536.0,2.0,0.0266719676701535,0.0512820512820512,0.0266719676701535,35.80045,139.91147,14.92637993958396,Outside-23,0.0,43432.0,10.678974799818294,Kita-Matsudo
北池袋,1.0,598.0,1.0,0.0,0.0897435897435897,0.0,35.74033,139.71639,1.2597744193096327,豊島区,96963.0,10036.0,9.2140335438138,Kita-ikebukuro
北綾瀬,1.0,472.0,2.0,0.025633044988058,0.141025641025641,0.025633044988058,35.77689,139.832095,7.736448798737507,足立区,60468.0,37943.0,10.543866667557417,Kita-ayase
北赤羽,1.0,514.0,1.0,0.0251524865741204,0.3333333333333333,0.0251524865741204,35.78684,139.70566,6.349339272615599,北区,46042.0,38092.0,10.547785817200792,Kita-Akabane
十条,1.0,760.0,1.0,0.0251524865741204,0.3333333333333333,0.0251524865741204,35.76034,139.7222,3.239886567439981,北区,54984.0,87866.0,11.383579586561892,Jūjō
千住大橋,1.0,579.0,1.0,0.0293823137877515,0.141025641025641,0.0293823137877515,35.74196,139.7967,2.8518883239898813,足立区,52393.0,16198.0,9.692704790920136,Senjuōhashi
千川,2.0,1430.0,1.0,0.038428907983954,0.2179487179487179,0.0285234657051593,35.738175,139.6894,2.150965673030516,豊島区,69236.0,40617.0,10.611966597093057,Senkawa
千歳烏山,1.0,1477.0,1.0,0.0343543458428573,0.1923076923076923,0.0343543458428573,35.66784,139.60038,9.20026307512479,世田谷区,70762.0,83257.0,11.329699499321851,Chitose-karasuyama
千歳船橋,1.0,592.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.64742,139.62401,7.097985628934072,世田谷区,68005.0,60683.0,11.013435350867985,Chitose-Funabashi
千石,1.0,752.0,1.0,0.0044180949557833,0.141025641025641,0.0044180949557833,35.727772,139.744984,0.7943542605825376,文京区,69980.0,30729.0,10.33299465512453,Sengoku
千駄木,1.0,914.0,2.0,0.025633044988058,0.141025641025641,0.025633044988058,35.725746,139.763303,0.7052345961566985,文京区,76999.0,29659.0,10.297554615691922,Sendagi
千鳥町,1.0,756.0,1.0,0.0012100513866994,0.0641025641025641,0.0012100513866994,35.57278,139.691558,6.181415397287024,大田区,88071.0,16646.0,9.719985298994011,Chidorichō
半蔵門,1.0,989.0,1.0,0.0334927687565924,0.2564102564102564,0.0334927687565924,35.68538,139.741695,2.239813453409063,千代田区,8793.0,91881.0,11.42826042408898,Hanzomon
南千住,3.0,2354.0,1.0,0.0740523911480243,0.2435897435897435,0.0386144697214487,35.73407,139.79926,2.250398440435468,荒川区,74625.5,78285.0,11.268124066503216,Minami-Senju
南新宿,1.0,462.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.68347,139.69851,0.3197749626004626,渋谷区,29659.0,3977.0,8.288534459413917,Minami-Shinjuku
南流山,2.0,1311.0,1.0,0.0031765482948732,0.141025641025641,0.0020250987714533,35.83767,139.90397,17.014078130118154,Outside-23,0.0,145008.0,11.88455108844203,Minami-Nagareyama
南浦和,2.0,1449.0,1.0,0.0922427032887405,0.282051282051282,0.046558176268387,35.84766,139.66899,13.63006018310763,Outside-23,0.0,120778.0,11.70171770831114,Minami-Urawa
南砂町,1.0,736.0,1.0,0.0210721042882315,0.2051282051282051,0.0210721042882315,35.668415,139.831695,6.013336696355792,江東区,50368.0,60969.0,11.01813721890186,Minami-sunamachi
南行徳,1.0,713.0,1.0,0.0210721042882315,0.2051282051282051,0.0210721042882315,35.672729,139.902276,12.025879645098534,Outside-23,0.0,53769.0,10.892470969803725,Minami-gyotoku
南鳩ヶ谷,1.0,533.0,2.0,0.0,0.0128205128205128,0.0,35.8165341,139.7362407,8.923570909460041,Outside-23,0.0,16400.0,9.70509758756311,Minami-hatogaya
原宿,1.0,1020.0,0.0,0.2422528336324923,0.6025641025641025,0.2422528336324923,35.67129,139.70261,0.0,渋谷区,19964.0,150682.0,11.92293357135028,Harajuku
参宮橋,1.0,462.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.67871,139.69355,0.9356646581958312,渋谷区,42613.0,14612.0,9.589666822474651,Sangubashi
台場,1.0,944.0,1.0,0.0031402759574739,0.1153846153846153,0.0031402759574739,35.62591,139.77142,2.973594817144925,港区,6415.0,21421.0,9.972173710324576,Daiba
吉祥寺,3.0,2833.0,1.0,0.031915553902728,0.2521367521367521,0.0268831719430636,35.70295,139.57984,10.861954284386789,Outside-23,51565.0,434271.0,12.981426344881095,Kichijōji
向ヶ丘遊園,1.0,974.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.61721,139.56452,13.181301424093723,Outside-23,0.0,67384.0,11.11817772020326,Mukogaoka-Yuen
向原,1.0,912.0,2.0,0.0001110001110001,0.0256410256410256,0.0001110001110001,35.728775,139.724759,0.4194704936616442,豊島区,81751.0,1868.0,7.533158807455563,Mukohara
向河原,1.0,631.0,2.0,0.0218068409560354,0.1025641025641025,0.0218068409560354,35.57242,139.66733,7.615672722764307,Outside-23,16695.0,25626.0,10.15140176217555,Mukaigawara
和光市,3.0,2315.0,1.0,0.038428907983954,0.1752136752136752,0.0190156438034395,35.78835,139.61286,10.980169053999578,Outside-23,0.0,180819.0,12.105257340291358,Wakoshi
